"version","count","countShortLived","countLongLived"
"0.1","0","0","0"
"0.2","0","0","0"
"0.3","0","0","0"
"0.4","0","0","0"
"0.5","1","1","0"
"0.6","0","0","0"
"0.7","2","1","1"
"0.8","1","1","0"
"0.9","33","28","5"
"1.0","17","15","2"
"1.1","19","13","6"
"1.2","5","3","2"
"1.3","14","8","6"
"1.4","10","8","2"
"1.5","13","8","5"
"1.6","15","10","5"
"1.7","4","2","2"
"1.8","6","6","0"
"1.9","18","16","2"
"1.10","29","17","12"
"1.11","77","48","29"
"1.12","40","20","20"
"1.13","15","6","9"
"1.14","7","2","5"
"1.15","15","5","10"
"1.16","9","2","7"
"1.17","41","23","18"
"1.18","10","5","5"
"1.19","48","12","36"
"1.20","16","2","14"
"1.21","108","20","88"
